seq_len,n,k_correct,accuracy,ci_low,ci_high
0,9,7,0.7777777777777778,0.45258334367280534,0.9367762376877729
1,164,149,0.9085365853658537,0.8545832125782393,0.9437885855933701
2,285,261,0.9157894736842105,0.8777592022930382,0.9427597257284103
3,703,637,0.9061166429587483,0.8822943348645429,0.9255245597788966
4,3956,3651,0.9229019211324571,0.9141731364963678,0.9308101577848985
5,4794,4285,0.893825615352524,0.8847875330498275,0.9022330305302625
6,2488,2123,0.8532958199356914,0.8388484124913106,0.866653895520563
7,2054,1693,0.8242453748782863,0.8071840149159335,0.8400961255963393
8,1413,1096,0.775654635527247,0.7531729577335688,0.796641502824337
9,1032,794,0.7693798449612403,0.7427089307987323,0.7940526744505646
10,735,524,0.7129251700680272,0.6791780865163204,0.7444580487527279
11,538,369,0.6858736059479554,0.6454500067610006,0.7236615564707632
12,381,244,0.6404199475065617,0.5910525325964412,0.6869839374733228
13,251,165,0.6573705179282868,0.5966808613294372,0.7133156227610724
14,172,102,0.5930232558139535,0.5183492921279845,0.6636326734592258
15,129,68,0.5271317829457365,0.44144139337977595,0.6112529433340247
16,74,38,0.5135135135135135,0.40180918267194504,0.6238840199343734
17,52,29,0.5576923076923077,0.42339524991516386,0.6840515281141191
18,40,16,0.4,0.2634811061240136,0.5540438017260649
19,45,28,0.6222222222222222,0.4762967000646754,0.7489211470165014
20,30,17,0.5666666666666667,0.3919700954540873,0.7262276256938489
21,24,13,0.5416666666666666,0.3507455355310663,0.7210894164831858
22,11,7,0.6363636363636364,0.3537967768916373,0.8483377638586862
23,9,1,0.1111111111111111,0.019890371327130507,0.4350062147680602
24,7,3,0.42857142857142855,0.1582169222626269,0.7495457695909742
25,8,4,0.5,0.21521252682444186,0.7847874731755582
27,5,2,0.4,0.1176182311592533,0.769280067791163
