group,n,k_correct,accuracy,ci_low,ci_high
XYX absent,13967,11938,0.8547290040810482,0.8487874799844342,0.8604754465954507
XYX present,5469,4401,0.8047174986286341,0.7939986780085714,0.8150085331630436
