_bin,n,k_correct,bin_left,bin_right,bin_center,accuracy,ci_low,ci_high
21,152,112,210.0,220.0,215.0,0.7368421052631579,0.6616208335298267,0.8003867433944348
22,121,80,220.0,230.0,225.0,0.6611570247933884,0.5730213220975752,0.7393745459464102
23,125,74,230.0,240.0,235.0,0.592,0.5043494517691636,0.674164320180269
24,96,67,240.0,250.0,245.0,0.6979166666666666,0.5999131207004743,0.7806897542534527
25,95,50,250.0,260.0,255.0,0.5263157894736842,0.4268517068062815,0.6237342812797065
26,71,52,260.0,270.0,265.0,0.7323943661971831,0.6194579122102354,0.821473334582992
27,68,50,270.0,280.0,275.0,0.7352941176470589,0.6199204078287541,0.825503970247458
28,48,34,280.0,290.0,285.0,0.7083333333333334,0.5682047226383247,0.8175858393813662
29,44,26,290.0,300.0,295.0,0.5909090909090909,0.44409492646606574,0.7231235612099317
30,44,21,300.0,310.0,305.0,0.4772727272727273,0.3375475794427176,0.620647798638283
31,50,25,310.0,320.0,315.0,0.5,0.36644286412332855,0.6335571358766714
32,38,23,320.0,330.0,325.0,0.6052631578947368,0.4471758699869596,0.7440214073638108
33,33,17,330.0,340.0,335.0,0.5151515151515151,0.3521810458621024,0.6749621835307578
34,31,21,340.0,350.0,345.0,0.6774193548387096,0.5014068555995079,0.8143076925268695
35,29,17,350.0,360.0,355.0,0.5862068965517241,0.4073752847851525,0.7448706472035448
36,24,12,360.0,370.0,365.0,0.5,0.31427131627763083,0.6857286837223692
37,19,6,370.0,380.0,375.0,0.3157894736842105,0.15364171004428598,0.5398998982493537
38,27,15,380.0,390.0,385.0,0.5555555555555556,0.37312719479576884,0.7241440232992717
39,18,8,390.0,400.0,395.0,0.4444444444444444,0.24559231101389126,0.6628393057174837
40,17,9,400.0,410.0,405.0,0.5294117647058824,0.30962897311549487,0.738351988039119
41,20,10,410.0,420.0,415.0,0.5,0.2992949144298199,0.7007050855701801
42,10,8,420.0,430.0,425.0,0.8,0.49015684672072335,0.9433190520193067
43,12,6,430.0,440.0,435.0,0.5,0.2537781703934222,0.7462218296065778
44,14,10,440.0,450.0,445.0,0.7142857142857143,0.45350458827515605,0.882788120898909
45,11,5,450.0,460.0,455.0,0.45454545454545453,0.2127095754398805,0.7199122443100117
46,16,11,460.0,470.0,465.0,0.6875,0.4440393186673406,0.8583556494803894
47,7,3,470.0,480.0,475.0,0.42857142857142855,0.1582169222626269,0.7495457695909742
48,4,2,480.0,490.0,485.0,0.5,0.15003570882017148,0.8499642911798285
49,13,9,490.0,500.0,495.0,0.6923076923076923,0.4236888781333764,0.8731950283838191
50,2,1,500.0,510.0,505.0,0.5,0.09452865480086614,0.9054713451991339
51,4,2,510.0,520.0,515.0,0.5,0.15003570882017148,0.8499642911798285
52,3,1,520.0,530.0,525.0,0.3333333333333333,0.061490315276160556,0.792345044873512
53,5,3,530.0,540.0,535.0,0.6,0.23071993220883708,0.8823817688407467
54,2,1,540.0,550.0,545.0,0.5,0.09452865480086614,0.9054713451991339
55,6,5,550.0,560.0,555.0,0.8333333333333334,0.43649056343635395,0.9699474141282697
56,3,3,560.0,570.0,565.0,1.0,0.43849391955098227,1.0
57,7,3,570.0,580.0,575.0,0.42857142857142855,0.1582169222626269,0.7495457695909742
58,1,1,580.0,590.0,585.0,1.0,0.2065432914738929,1.0
59,1,1,590.0,600.0,595.0,1.0,0.2065432914738929,1.0
60,2,2,600.0,610.0,605.0,1.0,0.34237195288961925,1.0
61,2,2,610.0,620.0,615.0,1.0,0.34237195288961925,1.0
62,2,1,620.0,630.0,625.0,0.5,0.09452865480086614,0.9054713451991339
63,2,0,630.0,640.0,635.0,0.0,0.0,0.6576280471103807
64,1,1,640.0,650.0,645.0,1.0,0.2065432914738929,1.0
65,4,0,650.0,660.0,655.0,0.0,0.0,0.48990002040399916
66,3,2,660.0,670.0,665.0,0.6666666666666666,0.20765495512648796,0.9385096847238394
67,3,1,670.0,680.0,675.0,0.3333333333333333,0.061490315276160556,0.792345044873512
68,1,0,680.0,690.0,685.0,0.0,0.0,0.7934567085261071
