group,n,k_correct,accuracy,ci_low,ci_high
> 5,11551,9141,0.7913600554064583,0.7838535500698882,0.7986728257135753
≤ 5,7885,7198,0.9128725428027901,0.9064447789492205,0.9188981966278273
