participant_id,trial_index,answer_A,answer_B,answer_C,answer_D,selected_label,is_correct,rel_range,preference_strength,dominant_metric_area,dominant_metric_label,is_uniform,pref_group,mismatch_flag,uniform_rel_range,preference_metric
L41_408,35,132.66666666666666,89.33333333333333,40.66666666666666,41.333333333333336,B,0,1.210526315789474,0.5701754385964912,answer_A,A,False,mismatch,True,0.15,mean_first_fixation_duration
L41_408,36,149.4,81.16666666666667,116.5,120.66666666666669,A,1,0.5835233751425314,0.24572405929304436,answer_A,A,False,matching,False,0.15,mean_first_fixation_duration
L41_408,37,54.75,68.4,45.333333333333336,91.8,A,1,0.7140936159313567,0.3596081193571107,answer_D,D,False,mismatch,True,0.15,mean_first_fixation_duration
L41_408,38,157.25,0.0,99.57142857142856,0.0,A,1,2.4491725768321513,0.8983451536643029,answer_A,A,False,matching,False,0.15,mean_first_fixation_duration
L41_408,39,95.16666666666669,67.83333333333333,52.0,48.75,A,1,0.7039494470774095,0.4145339652448661,answer_A,A,False,matching,False,0.15,mean_first_fixation_duration
L41_408,40,72.75,84.25,47.25,69.57142857142857,A,1,0.540498239206991,0.16799269596974045,answer_B,B,False,mismatch,True,0.15,mean_first_fixation_duration
L41_408,41,97.0,49.5,41.1,69.33333333333333,A,1,0.8702646600934094,0.4307213284898807,answer_A,A,False,matching,False,0.15,mean_first_fixation_duration
L41_408,42,40.5,28.5,68.6,43.77777777777778,A,1,0.8843420730213183,0.5474148493016416,answer_C,C,False,mismatch,True,0.15,mean_first_fixation_duration
L41_408,43,51.46153846153846,51.8,45.22222222222222,13.6,A,1,0.9427224501418491,0.008352756304116233,answer_B,B,False,mismatch,True,0.15,mean_first_fixation_duration
L41_408,44,112.2,67.55555555555556,99.33333333333331,56.25,A,1,0.6673845695068009,0.15347658256158805,answer_A,A,False,matching,False,0.15,mean_first_fixation_duration
L41_408,45,127.8,40.285714285714285,0.0,63.5,A,1,2.2073900437974214,1.1106039109246808,answer_A,A,False,matching,False,0.15,mean_first_fixation_duration
L41_408,46,101.875,94.0,95.14285714285714,91.42857142857144,C,0,0.1092589998599242,0.07041135546528464,answer_A,A,True,uniform,False,0.15,mean_first_fixation_duration
L41_408,47,138.375,115.8,95.33333333333331,76.5,A,1,0.5809745505760842,0.21196768451321377,answer_A,A,False,matching,False,0.15,mean_first_fixation_duration
L41_408,48,133.875,126.42857142857144,145.66666666666666,158.25,D,0,0.2255957969806622,0.08920866345251038,answer_D,D,False,matching,False,0.15,mean_first_fixation_duration
L41_408,49,70.375,45.833333333333336,91.75,77.33333333333333,A,1,0.6437855995326419,0.2021323207244049,answer_C,C,False,mismatch,True,0.15,mean_first_fixation_duration
L41_408,50,65.63636363636364,40.333333333333336,60.0,94.0,D,0,0.8257372654155495,0.43641450052453656,answer_D,D,False,matching,False,0.15,mean_first_fixation_duration
L41_408,52,149.33333333333334,97.8,204.8,89.66666666666667,A,1,0.8503200393894633,0.40965041851304773,answer_C,C,False,mismatch,True,0.15,mean_first_fixation_duration
L41_408,53,84.75,43.66666666666666,61.0,60.285714285714285,A,1,0.6581168057210968,0.38045292014302745,answer_A,A,False,matching,False,0.15,mean_first_fixation_duration
L41_408,54,87.8,117.75,70.0,89.5,A,1,0.5232159978085194,0.30954663744692507,answer_B,B,False,mismatch,True,0.15,mean_first_fixation_duration
L41_408,55,125.16666666666669,66.4,62.25,96.0,A,1,0.7194244604316548,0.3335080280146745,answer_A,A,False,matching,False,0.15,mean_first_fixation_duration
L41_408,56,51.38461538461539,82.14285714285714,85.08333333333333,61.625,A,1,0.48100517127288467,0.041971455880791125,answer_C,C,False,mismatch,True,0.15,mean_first_fixation_duration
L41_408,57,100.3,106.7,117.85714285714286,96.0,A,1,0.20773930753564157,0.10604209097080788,answer_C,C,False,mismatch,True,0.15,mean_first_fixation_duration
L56_481,3,154.0,134.0,72.0,92.0,A,1,0.7256637168141593,0.17699115044247787,answer_A,A,False,matching,False,0.15,mean_first_fixation_duration
L56_481,4,191.125,225.0,192.66666666666663,228.5,C,0,0.1785518785767604,0.016720577258024383,answer_D,D,False,mismatch,True,0.15,mean_first_fixation_duration
L56_481,5,188.7142857142857,193.25,198.57142857142856,222.875,A,1,0.17007846013647185,0.12100197817341254,answer_D,D,False,mismatch,True,0.15,mean_first_fixation_duration
L56_481,6,137.71428571428572,123.72727272727272,141.66666666666666,173.0,A,1,0.342107438327034,0.21755171662371045,answer_D,D,False,mismatch,True,0.15,mean_first_fixation_duration
L56_481,7,179.3,177.9,160.5,167.16666666666666,A,1,0.10980239462669139,0.008176774067945132,answer_A,A,True,uniform,False,0.15,mean_first_fixation_duration
L56_481,8,153.2,201.75,182.875,182.42857142857144,A,1,0.269627264207546,0.1048241938602972,answer_B,B,False,mismatch,True,0.15,mean_first_fixation_duration
L56_481,10,63.0,58.66666666666666,31.58333333333333,193.0,A,1,1.8647412755716006,1.5018050541516246,answer_D,D,False,mismatch,True,0.15,mean_first_fixation_duration
L56_481,11,275.3333333333333,164.4,145.8,169.66666666666666,B,0,0.6860875706214689,0.5596751412429378,answer_A,A,False,mismatch,True,0.15,mean_first_fixation_duration
L56_481,12,81.0,153.33333333333334,123.15384615384616,167.36363636363637,B,0,0.6581956910832693,0.1069279315689662,answer_D,D,False,mismatch,True,0.15,mean_first_fixation_duration
L56_481,13,78.375,93.4,144.6,137.375,A,1,0.5838016528925619,0.06369146005509636,answer_C,C,False,mismatch,True,0.15,mean_first_fixation_duration
L56_481,14,136.83333333333334,109.33333333333331,99.16666666666669,97.25,A,1,0.3577480700433064,0.24854076445113937,answer_A,A,False,matching,False,0.15,mean_first_fixation_duration
L56_481,15,82.0,159.33333333333334,68.875,147.2,A,1,0.7910510302610724,0.10610504837034761,answer_B,B,False,mismatch,True,0.15,mean_first_fixation_duration
L56_481,16,179.6,240.6,117.58333333333331,106.58333333333331,A,1,0.8319279913092962,0.37866639077130004,answer_B,B,False,mismatch,True,0.15,mean_first_fixation_duration
L56_481,17,307.0,103.4,121.6,118.4,B,0,1.2521525215252152,1.1402214022140222,answer_A,A,False,mismatch,True,0.15,mean_first_fixation_duration
L56_481,18,163.6,343.75,115.0,118.83333333333331,A,1,1.234512378853635,0.9722290931168627,answer_B,B,False,mismatch,True,0.15,mean_first_fixation_duration
L56_481,19,142.3,115.75,118.9,83.36363636363636,A,1,0.5121409315782718,0.20333962021941565,answer_A,A,False,matching,False,0.15,mean_first_fixation_duration
L56_481,20,156.22222222222223,202.7142857142857,55.81818181818182,147.71428571428572,A,1,1.0446521340923725,0.33062846499790893,answer_B,B,False,mismatch,True,0.15,mean_first_fixation_duration
L56_481,21,126.42857142857144,187.7,105.625,192.8,B,0,0.5692563332653121,0.03330320963181078,answer_D,D,False,mismatch,True,0.15,mean_first_fixation_duration
L56_481,22,177.5,176.0,182.75,173.55555555555554,B,0,0.05181387703987797,0.02958556725237741,answer_C,C,True,uniform,False,0.15,mean_first_fixation_duration
L56_481,23,101.0,116.84615384615384,210.72727272727272,139.45454545454547,A,1,0.7726892204658491,0.5018958979662184,answer_C,C,False,mismatch,True,0.15,mean_first_fixation_duration
L56_481,24,239.42857142857144,245.0,111.16666666666669,127.875,A,1,0.7399521157121347,0.03080391301843783,answer_B,B,False,mismatch,True,0.15,mean_first_fixation_duration
L56_481,25,173.23076923076923,89.5,84.44444444444444,101.9090909090909,A,1,0.7908210006894802,0.6352631574394239,answer_A,A,False,matching,False,0.15,mean_first_fixation_duration
L56_481,26,258.1666666666667,217.45454545454547,215.7142857142857,168.83333333333334,C,0,0.41542232220594977,0.18932153659555412,answer_A,A,False,mismatch,True,0.15,mean_first_fixation_duration
L56_481,27,186.1428571428572,159.16666666666666,126.57142857142856,92.0,A,1,0.6678207997297643,0.19136089177891358,answer_A,A,False,matching,False,0.15,mean_first_fixation_duration
L56_481,28,136.0,137.0,88.625,67.16666666666667,A,1,0.6514430084539888,0.009328539500534447,answer_B,B,False,mismatch,True,0.15,mean_first_fixation_duration
L56_481,29,160.2,203.11111111111111,0.0,21.1,A,1,2.1134780472295285,0.4465127034135909,answer_B,B,False,mismatch,True,0.15,mean_first_fixation_duration
L56_481,30,111.25,98.0,224.7142857142857,217.42857142857144,D,0,0.778112835133505,0.04473929491748429,answer_C,C,False,mismatch,True,0.15,mean_first_fixation_duration
