position,question,answer_A,answer_B,answer_C,answer_D
0,1593,3710,3665,3665,3706
1,337,4209,3874,3841,3972
2,287,4369,3915,3772,3737
3,221,4451,3900,3720,3409
4,525,5690,2433,2349,2203
