position,question,answer_0(top),answer_1(left),answer_2(right),answer_3(bottom)
0,852,6694,822,28,53
1,144,1523,2528,3885,308
2,119,796,820,1602,4953
3,81,509,3291,2267,1898
4,215,1834,1339,1335,1954
