position,question,answer_0(top),answer_1(left),answer_2(right),answer_3(bottom)
0,43.0,333.0,35.0,0.0,0.0
1,12.0,70.0,120.0,201.0,8.0
2,9.0,28.0,36.0,78.0,260.0
3,6.0,21.0,183.0,103.0,98.0
4,25.0,153.0,55.0,74.0,87.0
