position,question,answer_0(top),answer_1(left),answer_2(right),answer_3(bottom)
0,19.0,117.0,16.0,0.0,0.0
1,4.0,29.0,43.0,72.0,4.0
2,3.0,8.0,17.0,28.0,96.0
3,0.0,8.0,67.0,40.0,37.0
4,7.0,53.0,19.0,28.0,38.0
