position,answer_0(top),answer_1(left),answer_2(right),answer_3(bottom)
0,133.0,19.0,0.0,0.0
1,16.0,52.0,79.0,5.0
2,7.0,7.0,26.0,112.0
3,6.0,71.0,45.0,30.0
