position,question,answer_0(top),answer_1(left),answer_2(right),answer_3(bottom)
0,1593,13181,1440,62,63
1,337,2764,4690,7783,659
2,287,1480,1501,3055,9757
3,221,985,6710,4222,3563
4,525,3714,2530,2586,3845
