position,answer_0(top),answer_1(left),answer_2(right),answer_3(bottom)
0,238.0,19.0,2.0,0.0
1,23.0,82.0,148.0,6.0
2,20.0,17.0,37.0,184.0
3,12.0,133.0,65.0,48.0
