position,question,answer_0(top),answer_1(left),answer_2(right),answer_3(bottom)
0,24.0,216.0,19.0,0.0,0.0
1,8.0,41.0,77.0,129.0,4.0
2,6.0,20.0,19.0,50.0,164.0
3,6.0,13.0,116.0,63.0,61.0
4,18.0,100.0,36.0,46.0,49.0
