position,answer_0(top),answer_1(left),answer_2(right),answer_3(bottom)
0,371.0,38.0,2.0,0.0
1,39.0,134.0,227.0,11.0
2,27.0,24.0,63.0,296.0
3,18.0,204.0,110.0,78.0
