position,question,answer_A,answer_B,answer_C,answer_D
0,852,1911,1900,1887,1899
1,144,2208,2018,1954,2064
2,119,2329,2003,1892,1947
3,81,2308,1986,1936,1735
4,215,2861,1259,1201,1141
