position,question,answer_0(top),answer_1(left),answer_2(right),answer_3(bottom)
0,33.0,295.0,42.0,0.0,4.0
1,11.0,61.0,118.0,173.0,10.0
2,9.0,26.0,41.0,66.0,230.0
3,5.0,24.0,155.0,95.0,88.0
4,13.0,125.0,54.0,59.0,91.0
