position,question,answer_A,answer_B,answer_C,answer_D
0,19.0,34.0,32.0,33.0,34.0
1,4.0,35.0,42.0,25.0,46.0
2,3.0,38.0,32.0,45.0,34.0
3,0.0,39.0,44.0,40.0,29.0
4,7.0,26.0,27.0,27.0,58.0
