position,question,answer_0(top),answer_1(left),answer_2(right),answer_3(bottom)
0,741,6487,618,34,10
1,193,1241,2162,3898,351
2,168,684,681,1453,4804
3,140,476,3419,1955,1665
4,310,1880,1191,1251,1891
