TRIAL_INDEX,participant_id,critical,distractor,outside,answer_A,answer_B,answer_C,answer_D,question,loc_answer_A,loc_answer_B,loc_answer_C,loc_answer_D,loc_question,selected_answer_label,selected_answer_position,dwell_selected,screenloc_selected
13,l51_429,661.9333333333333,453.3,295.53333333333336,368.0,317.6666666666667,292.5,352.6666666666667,300.0,answer_3,answer_0,answer_1,answer_2,question,B,0,317.6666666666667,answer_0
13,l51_475,133.0,208.88888888888889,133.37037037037038,180.0,101.76923076923077,33.75,95.0,7.166666666666667,answer_0,answer_1,answer_3,answer_2,question,A,0,180.0,answer_0
13,l52_149,256.72727272727275,225.0,194.19642857142858,139.91666666666666,153.66666666666666,150.875,111.0,9.555555555555555,answer_0,answer_2,answer_3,answer_1,question,C,3,150.875,answer_3
13,l52_430,171.53571428571428,262.3333333333333,181.46268656716418,137.25,30.6,376.42857142857144,41.25,22.857142857142858,answer_2,answer_3,answer_1,answer_0,question,C,1,376.42857142857144,answer_1
13,l52_477,138.6206896551724,167.125,125.19672131147541,61.77777777777778,79.08333333333333,109.66666666666667,71.72727272727273,0.0,answer_0,answer_2,answer_1,answer_3,question,A,0,61.77777777777778,answer_0
13,l53_150,164.43478260869566,210.0,147.0,109.66666666666667,213.25,222.25,90.66666666666667,31.2,answer_1,answer_2,answer_0,answer_3,question,B,2,213.25,answer_2
13,l53_478,79.6,83.41666666666667,177.2,194.6,91.7,169.85714285714286,44.55555555555556,28.0,answer_3,answer_2,answer_1,answer_0,question,A,3,194.6,answer_3
13,l54_151,334.3225806451613,71.6,246.1159420289855,129.7,277.0,161.57142857142858,142.2,8.76923076923077,answer_2,answer_1,answer_3,answer_0,question,B,1,277.0,answer_1
13,l54_516,321.9811320754717,202.95454545454547,339.34285714285716,105.75,117.375,49.36363636363637,88.22222222222223,0.0,answer_0,answer_1,answer_3,answer_2,question,A,0,105.75,answer_0
13,l55_437,171.77777777777777,313.2857142857143,363.71590909090907,152.14285714285714,319.8333333333333,74.88888888888889,326.44444444444446,9.733333333333333,answer_3,answer_0,answer_1,answer_2,question,A,3,152.14285714285714,answer_3
