term,Estimate,SE,P-val,CI_low,CI_high,sig
critical,0.0889804647419588,0.020060695263405735,1.7291666777810626e-05,0.049661502025683556,0.12829942745823403,***
distractor,0.039886411349223466,0.01424136831600571,0.005442705224852883,0.011973329449852275,0.06779949324859466,**
outside,0.15799674261915678,0.024939837802088187,5.654772240817291e-10,0.10911466052706392,0.20687882471124963,***
