group,n,k_correct,accuracy,ci_low,ci_high
XYX absent,14761,12612,0.854413657611273,0.8486316949987965,0.8600111935236242
XYX present,4675,3727,0.7972192513368984,0.7854516601061691,0.8084987741209696
