group,n,k_correct,accuracy,ci_low,ci_high
XYXY absent,9069,7939,0.8753997133090748,0.8684430015665449,0.8820385234277855
XYXY present,650,510,0.7846153846153846,0.7513882878749685,0.8144980062978098
