group,n,k_correct,accuracy,ci_low,ci_high
ABA absent,14760,12611,0.8544037940379404,0.8486214751891646,0.8600016788278767
ABA present,4676,3728,0.7972626176218991,0.7854971923660451,0.8085400075255068
