group,n,k_correct,accuracy,ci_low,ci_high
ABA absent,7434,6551,0.8812214151197202,0.8736692253970307,0.8883798077525863
ABA present,2285,1898,0.8306345733041576,0.8147034494486712,0.8454558206379962
