group,n,k_correct,accuracy,ci_low,ci_high
XYXY absent,18096,15325,0.8468722369584438,0.8415517806557139,0.8520454494990516
XYXY present,1340,1014,0.7567164179104477,0.7330302026072294,0.7789348980415375
