group,n,k_correct,accuracy,ci_low,ci_high
XYX absent,7435,6552,0.8812373907195696,0.8736861414036928,0.8883948793831996
XYX present,2284,1897,0.8305604203152365,0.8146231421936133,0.8453875858218228
