group,n,k_correct,accuracy,ci_low,ci_high
ABAB absent,9189,8038,0.8747415387963869,0.8678164623303705,0.8813534134999711
ABAB present,530,411,0.7754716981132076,0.7380367427883531,0.8089419864826518
