pref_group,n_trials,n_correct,acc,ci_low,ci_high
matching,2821,2423,0.8589152782701169,0.8455805865671681,0.8712737673194356
not_matching,6884,6012,0.873329459616502,0.8652635682128482,0.8809789121601033
