pref_group,n_trials,n_correct,acc,ci_low,ci_high
matching,4472,3613,0.8079159212880143,0.7961075050567739,0.8191957710913365
not_matching,5245,4277,0.815443279313632,0.8047147793949155,0.8257100366254423
