pref_group,n_trials,n_correct,acc,ci_low,ci_high
matching,5808,5062,0.8715564738292011,0.8627052996479684,0.879916453842354
not_matching,3911,3387,0.8660189209920737,0.854983215724507,0.8763362838945836
