pref_group,n_trials,n_correct,acc,ci_low,ci_high
matching,2716,2228,0.8203240058910162,0.8054359499284534,0.8343071880542878
not_matching,6987,5652,0.8089308716187205,0.799543548200704,0.8179786682946605
