pref_group,n_trials,n_correct,acc,ci_low,ci_high
matching,2424,2007,0.8279702970297029,0.8124298110078985,0.8424728811611457
not_matching,7279,5873,0.8068415991207584,0.7976114466797839,0.8157480420121026
