pref_group,n_trials,n_correct,acc,ci_low,ci_high
matching,4815,4114,0.8544132917964694,0.8441685730636348,0.8640929311119747
not_matching,14593,12201,0.8360857945590352,0.8299910376284622,0.8420036492221509
