pref_group,n_trials,n_correct,acc,ci_low,ci_high
matching,6675,6248,0.9360299625468165,0.929905149754082,0.9416531755698783
not_matching,3044,2201,0.7230617608409987,0.7068912234296922,0.7386699894627364
