pref_group,n_trials,n_correct,acc,ci_low,ci_high
matching,4997,4225,0.8455073043826296,0.8352211540377026,0.8552626237328229
not_matching,14411,12090,0.8389424744986469,0.8328506850204417,0.8448536055352035
