group,n,k_correct,accuracy,ci_low,ci_high
≤ 200.0,16845,14663,0.8704660136539032,0.8653104821484553,0.8754526098376431
> 200.0,2591,1676,0.646854496333462,0.628245836588672,0.6650283270442837
