group,n,k_correct,accuracy,ci_low,ci_high
≤ 100.0,9005,8213,0.9120488617434759,0.906021922061975,0.9177243851214036
> 100.0,10431,8126,0.7790240628894641,0.7709597972663406,0.7868828823963773
