group,n,k_correct,accuracy,ci_low,ci_high
≤ 200.0,8631,7713,0.8936392075078207,0.8869589158818897,0.899969242707609
> 200.0,1088,736,0.6764705882352942,0.6480930825992034,0.7036062847815595
