group,n,k_correct,accuracy,ci_low,ci_high
≤ 350.0,9406,7723,0.8210716563895386,0.8131949394946745,0.8286862160818445
> 350.0,311,167,0.5369774919614148,0.4814450677610719,0.5916075402805591
