group,n,k_correct,accuracy,ci_low,ci_high
≤ 150.0,6790,5904,0.8695139911634757,0.8612925796964569,0.8773175168356729
> 150.0,2927,1986,0.6785104202254868,0.6613656754536305,0.6951872000071245
