participant_id,random_intercept
L41_408,-0.7455327650400996
L56_481,0.5397882600199401
l10_202,0.006494001119541598
l10_269,0.15976147686318026
l10_338,-0.61122270957869
l10_341,-0.44256591318874405
l10_39,0.2125642716193849
l10_494,2.0551209420288425
l11_205,-0.17745579124125282
l11_342,-1.315761884316711
l11_344,-0.5122764863070761
l11_40,1.2222729804242258
l11_525,-0.6920579514017522
l11_91,0.12624704998431951
l12_204,0.17888375964860329
l12_207,-0.7527815082838483
l12_343,-0.10920371830772138
l12_345,0.9111167771069596
l12_41,1.3976121982857796
l12_92,-0.29588289033879533
l13_206,-0.4999387659497383
l13_213,-0.10762449423637861
l13_347,0.27612873051788867
l13_348,-0.025515031072754508
l13_42,2.399357012267832
l13_93,-0.2543992823258785
l14_212,0.2301258471098817
l14_349,-0.23574348925623118
l14_352,-0.28868371999576464
l14_43,0.14731462440169366
l14_527,0.32793695219117763
l14_94,0.38896742406961626
l15_210,-1.1331949021166177
l15_214,-0.8493232661324223
l15_350,1.609784114724849
l15_351,1.021998393395097
l15_45,1.4223767714817008
l15_95,-0.561542269026372
l16_215,0.678076996226602
l16_218,-0.9786687439060617
l16_353,1.414173811810411
l16_354,0.46987279171483004
l16_46,-0.2762440887397514
l16_96,0.7636611351087145
l17_219,0.7704326191344952
l17_355,0.09882614194204978
l17_356,-0.4865250017391874
l17_48,1.0522360461752183
l17_493,-0.7887531314163844
l17_98,0.9874578759395477
l18_220,-0.03450932429516101
l18_222,0.17791326282147088
l18_358,-0.4078025571021305
l18_449,-0.49425342867058353
l18_526,1.0601160009890491
l18_99,-0.07552372611106568
l19_100,0.7636468113319498
l19_225,1.14715285802199
l19_230,-0.359761153220005
l19_359,-0.45406021944677755
l19_365,-0.5178802437103489
l19_50,-0.28650369038506096
l1_155,-0.6371797148323295
l1_161,0.16101494945348122
l1_168,0.17304559309332174
l1_321,1.0534029971729428
l1_322,-0.24870852397783366
l1_64,-0.39705456366324493
l20_101,0.6036500421956648
l20_226,1.1241291582573572
l20_253,-1.8054700586351886
l20_361,0.5038463470354465
l20_362,0.669032948021401
l20_51,0.22060395720384057
l21_102,-0.008051315155485383
l21_227,0.30287588340064847
l21_232,0.9445299802549495
l21_363,-0.17920577676114718
l21_366,1.4825313175858497
l21_52,0.19294797567011912
l22_103,-0.3409709767166802
l22_229,0.3579009543058479
l22_233,1.082074545310328
