text_region,RT_normalized_answer_A,RT_normalized_answer_B,RT_normalized_answer_C,RT_normalized_answer_D,RT_normalized_question
RT_normalized_distractor,0.5280355037204374,0.11212100226467726,1.7193526219007113e-05,0.00010515558204105528,0.04477737143951826
RT_normalized_critical,1.598812071240513e-19,1.598812071240513e-19,1.8373526832772757e-07,1.356470490656937e-05,3.27249013183932e-09
RT_normalized_outside,0.019025418972090393,5.4363595700641305e-09,2.6259381866592075e-17,2.3463186579880566e-14,6.285360797057483e-10
