text_region,TFD_pure_answer_A,TFD_pure_answer_B,TFD_pure_answer_C,TFD_pure_answer_D,TFD_pure_question
TFD_pure_distractor,360,360,360,360,360
TFD_pure_critical,360,360,360,360,360
TFD_pure_outside,360,360,360,360,360
