text_region,RT_normalized_answer_A,RT_normalized_answer_B,RT_normalized_answer_C,RT_normalized_answer_D,RT_normalized_question
RT_normalized_distractor,360,360,360,360,360
RT_normalized_critical,360,360,360,360,360
RT_normalized_outside,360,360,360,360,360
