text_region,area_dwell_proportion__answer_A,area_dwell_proportion__answer_B,area_dwell_proportion__answer_C,area_dwell_proportion__answer_D,area_dwell_proportion__question
area_dwell_proportion__distractor,360,360,360,360,360
area_dwell_proportion__critical,360,360,360,360,360
area_dwell_proportion__outside,360,360,360,360,360
