text_region,area_dwell_proportion__answer_A,area_dwell_proportion__answer_B,area_dwell_proportion__answer_C,area_dwell_proportion__answer_D,area_dwell_proportion__question
area_dwell_proportion__distractor,0.0006071560699033097,0.24061776902050505,4.381658654637035e-37,0.4184006781359569,2.4157350871706147e-09
area_dwell_proportion__critical,0.0020143436881498943,0.3908316828538168,0.08057462725805328,3.6902344591971935e-09,0.9420812716174947
area_dwell_proportion__outside,0.27028475110497574,0.4931750844028665,2.897699144961949e-06,3.6524392615784523e-07,0.025927122497988585
