text_region,RT_pure_answer_A,RT_pure_answer_B,RT_pure_answer_C,RT_pure_answer_D,RT_pure_question
RT_pure_distractor,3.5001103339263964e-29,8.330671004331518e-21,9.76251427764865e-69,2.6822021291208557e-29,7.58910258183384e-05
RT_pure_critical,2.1256439623878932e-16,1.3430056597982167e-09,1.778047307649143e-18,2.7647440337588615e-05,7.145336174583819e-07
RT_pure_outside,1.77099697730981e-23,7.089109155322116e-13,4.208486337426617e-18,6.315164334672932e-30,7.195242137660617e-14
