text_region,RT_pure_answer_A,RT_pure_answer_B,RT_pure_answer_C,RT_pure_answer_D,RT_pure_question
RT_pure_distractor,360,360,360,360,360
RT_pure_critical,360,360,360,360,360
RT_pure_outside,360,360,360,360,360
