text_region,TFD_pure_answer_A,TFD_pure_answer_B,TFD_pure_answer_C,TFD_pure_answer_D,TFD_pure_question
TFD_pure_distractor,180,180,180,180,180
TFD_pure_critical,180,180,180,180,180
TFD_pure_outside,180,180,180,180,180
