run_identifier,model_family,model,balanced_accuracy,accuracy,macro_f1,weighted_f1,n_test,n_features,trained_feature_cols,source_folder,n_positive,n_negative,macro_precision,macro_recall,weighted_precision,weighted_recall,roc_auc,average_precision,precision_class_0,recall_class_0,f1_class_0,support_class_0,precision_class_1,recall_class_1,f1_class_1,support_class_1,source_csv
SELECTION + LAST + RT,logreg,trial_level_log_reg,0.8238531746031745,0.8120706575073602,0.7194475025726017,0.8350880256423001,2038,14,area_dwell_proportion__correct | area_dwell_proportion__question | skip_rate__correct | has_xyx | ANSWER_PRESS_NUMBER | num_label_visits__correct | num_label_visits__contrast | mean_fixations_count__question | mean_fixations_count__wrong_mean | mean_max_fix_pupil_size_z__correct | last_before_confirm_correct | last_before_confirm_question | RT_normalized_correct | RT_normalized_wrong_mean,..\reports\report_data\answer_correctness\new_item\logreg\SELECTION + LAST + RT,1750,288,0.6932167796572049,0.8238531746031745,0.8906762903582583,0.8120706575073602,0.9010337301587302,0.9813590937821206,0.4179620034542314,0.8402777777777778,0.558246828143022,288,0.9684715558601782,0.8074285714285714,0.8806481770021813,1750,..\reports\report_data\answer_correctness\new_item\logreg\SELECTION + LAST + RT\model_summary.csv
SELECTION + LAST,logreg,trial_level_log_reg,0.818688492063492,0.8056918547595682,0.7125737754661583,0.8299346650583697,2038,12,area_dwell_proportion__correct | area_dwell_proportion__question | skip_rate__correct | has_xyx | ANSWER_PRESS_NUMBER | num_label_visits__correct | num_label_visits__contrast | mean_fixations_count__question | mean_fixations_count__wrong_mean | mean_max_fix_pupil_size_z__correct | last_before_confirm_correct | last_before_confirm_question,..\reports\report_data\answer_correctness\new_item\logreg\SELECTION + LAST,1750,288,0.6880080063676375,0.818688492063492,0.8885368948862887,0.8056918547595682,0.8962579365079365,0.980361565493419,0.4084745762711864,0.8368055555555556,0.5489749430523918,288,0.9675414364640884,0.8005714285714286,0.8761726078799249,1750,..\reports\report_data\answer_correctness\new_item\logreg\SELECTION + LAST\model_summary.csv
LAST,logreg,trial_level_log_reg,0.7742916666666667,0.7095191364082434,0.6293110970461543,0.7530074615476039,2038,2,last_before_confirm_correct | last_before_confirm_question,..\reports\report_data\answer_correctness\new_item\logreg\LAST,1750,288,0.6394602087015471,0.7742916666666667,0.8754651679347037,0.7095191364082434,0.7822827380952382,0.93738883231757,0.3104738154613466,0.8645833333333334,0.4568807339449541,288,0.9684466019417476,0.684,0.8017414601473544,1750,..\reports\report_data\answer_correctness\new_item\logreg\LAST\model_summary.csv
SELECTION - 10 features best performer,logreg,trial_level_log_reg,0.7697261904761905,0.7988223748773308,0.689857396313535,0.8217338852707117,2038,10,area_dwell_proportion__correct | area_dwell_proportion__question | skip_rate__correct | has_xyx | ANSWER_PRESS_NUMBER | num_label_visits__correct | num_label_visits__contrast | mean_fixations_count__question | mean_fixations_count__wrong_mean | mean_max_fix_pupil_size_z__correct,..\reports\report_data\answer_correctness\new_item\logreg\SELECTION - 10 features best performer,1750,288,0.6676574185527951,0.7697261904761905,0.8686670266727857,0.7988223748773308,0.8534384920634921,0.9707355256629224,0.3874538745387454,0.7291666666666666,0.5060240963855421,288,0.9478609625668448,0.8102857142857143,0.8736906962415281,1750,..\reports\report_data\answer_correctness\new_item\logreg\SELECTION - 10 features best performer\model_summary.csv
BASELINE - correct+mean_wrong RT,logreg,trial_level_log_reg,0.7503214285714286,0.795387634936212,0.6796441822830732,0.8177804498576764,2038,2,RT_normalized_correct | RT_normalized_wrong_mean,..\reports\report_data\answer_correctness\new_item\logreg\BASELINE - correct+mean_wrong RT,1750,288,0.658829194599188,0.7503214285714286,0.8609025142072134,0.795387634936212,0.8341547619047619,0.9630271717923856,0.3771428571428571,0.6875,0.4870848708487085,288,0.9405155320555189,0.8131428571428572,0.872203493717438,1750,..\reports\report_data\answer_correctness\new_item\logreg\BASELINE - correct+mean_wrong RT\model_summary.csv
BASELINE - total_answering_RT,logreg,trial_level_log_reg,0.6318670634920636,0.7090284592737979,0.5755054013090997,0.746293424707515,2038,1,total_answering_RT,..\reports\report_data\answer_correctness\new_item\logreg\BASELINE - total_answering_RT,1750,288,0.5765135842379323,0.6318670634920636,0.8116309960127327,0.7090284592737979,0.6744454365079365,0.91477048119441,0.2487644151565074,0.5243055555555556,0.3374301675977653,288,0.9042627533193572,0.7394285714285714,0.8135806350204339,1750,..\reports\report_data\answer_correctness\new_item\logreg\BASELINE - total_answering_RT\model_summary.csv
