run_identifier,new_item,new_subject,both
SELECTION + LAST + RT,0.8239,0.8622,0.8293
SELECTION + LAST,0.8187,0.862,0.8293
LAST,0.7743,0.8225,0.8258
SELECTION - 10 features best performer,0.7697,0.8003,0.815
BASELINE - correct+mean_wrong RT,0.7503,0.7176,0.7094
BASELINE - total_answering_RT,0.6319,0.6309,0.6348
