_bin,n,k_correct,bin_left,bin_right,bin_center,accuracy,ci_low,ci_high
0,7667,6514,894.0,9279.666666666666,5086.833333333333,0.8496152341202556,0.8414390090798967,0.8574412806656249
1,1744,1198,9279.666666666666,17665.333333333332,13472.5,0.6869266055045872,0.6647706872041366,0.7082608277798299
2,243,143,17665.333333333332,26051.0,21858.166666666664,0.588477366255144,0.525693395219545,0.6485073877927187
3,44,26,26051.0,34436.666666666664,30243.833333333332,0.5909090909090909,0.44409492646606574,0.7231235612099317
4,10,4,34436.666666666664,42822.33333333333,38629.5,0.4,0.16817758120350962,0.6873304525498136
