_bin,n,k_correct,bin_left,bin_right,bin_center,accuracy,ci_low,ci_high
0,2591,2420,0.814,3.8302,2.3221,0.9340023157082208,0.9237852197954814,0.9429343518346329
1,4066,3660,3.8302,6.8464,5.3383,0.9001475651746188,0.8905511869714675,0.9089885297585398
2,1763,1481,6.8464,9.8626,8.3545,0.840045377197958,0.8221974848740741,0.8564145650120052
3,682,506,9.8626,12.8788,11.3707,0.7419354838709677,0.7078038084405608,0.7733568560627299
4,284,185,12.8788,15.895,14.3869,0.6514084507042254,0.5942997455271726,0.7044756920746196
5,150,98,15.895,18.9112,17.403100000000002,0.6533333333333333,0.5742027248462458,0.7248061258157337
6,77,48,18.9112,21.9274,20.4193,0.6233766233766234,0.511725974706673,0.7233015358819349
7,45,21,21.9274,24.9436,23.435499999999998,0.4666666666666667,0.3293490394201473,0.6092279113758954
8,23,11,24.9436,27.9598,26.451700000000002,0.4782608695652174,0.2923686953994572,0.6703757013578151
9,16,7,27.9598,30.976,29.4679,0.4375,0.2309836333518552,0.6682180439322347
