position,question,answer_A,answer_B,answer_C,answer_D
0,384,2195,1974,1955,1941
1,212,2111,2119,1958,1988
2,205,2460,1878,1832,1915
3,235,2154,1904,1948,1805
4,206,4308,710,754,699
