position,question,answer_0(top),answer_1(left),answer_2(right),answer_3(bottom)
0,384,4377,1266,1239,1183
1,212,1160,2196,3210,1610
2,205,1142,1367,1660,3916
3,235,917,2871,2026,1997
4,206,2535,1303,1301,1332
