position,question,answer_A,answer_B,answer_C,answer_D
0,448,2036,1853,1810,1743
1,314,1880,1979,1820,1852
2,289,2345,1750,1694,1712
3,392,1910,1873,1732,1748
4,215,4435,595,678,600
