position,question,answer_0(top),answer_1(left),answer_2(right),answer_3(bottom)
0,448,3920,1164,1233,1125
1,314,1073,1909,2976,1573
2,289,1046,1308,1531,3616
3,392,868,2888,1710,1797
4,215,2461,1241,1272,1334
