position,question,answer_A,answer_B,answer_C,answer_D
0,832,4231,3827,3765,3684
1,526,3991,4098,3778,3840
2,494,4805,3628,3526,3627
3,627,4064,3777,3680,3553
4,421,8743,1305,1432,1299
