position,question,answer_0(top),answer_1(left),answer_2(right),answer_3(bottom)
0,832,8297,2430,2472,2308
1,526,2233,4105,6186,3183
2,494,2188,2675,3191,7532
3,627,1785,5759,3736,3794
4,421,4996,2544,2573,2666
