area,term,estimate,ci_low,ci_high
answer_A,C(area_label)[answer_A],-0.15670507743894035,-0.2875336961628073,-0.025876458715073436
answer_B,C(area_label)[answer_B],-0.056942545738907564,-0.18722766413530076,0.07334257265748564
answer_C,C(area_label)[answer_C],-0.09106152743673453,-0.22134664583312774,0.039223590959658675
answer_D,C(area_label)[answer_D],-0.09167775485487699,-0.22233907857151047,0.03898356886175651
