strategy_str,n_participants
answer_0(top) → answer_2(right) → answer_3(bottom) → answer_1(left),51
answer_0(top) → answer_1(left) → answer_3(bottom) → answer_2(right),18
answer_0(top) → answer_1(left) → answer_2(right) → answer_3(bottom),4
answer_1(left) → answer_0(top) → answer_2(right) → answer_3(bottom),4
answer_1(left) → answer_0(top) → answer_3(bottom) → answer_2(right),1
