index,dominance_score
0,0.2222222222222222
1,0.37037037037037035
2,0.2777777777777778
3,0.37037037037037035
4,0.5925925925925926
5,0.7777777777777778
6,0.6111111111111112
7,0.5185185185185185
8,0.5185185185185185
9,0.5740740740740741
10,0.42592592592592593
11,0.4444444444444444
12,0.37037037037037035
13,0.4444444444444444
14,0.2777777777777778
15,0.6666666666666666
16,0.7962962962962963
17,0.35185185185185186
18,0.46296296296296297
19,0.7962962962962963
20,0.4444444444444444
21,0.8333333333333334
22,0.6851851851851852
23,0.6111111111111112
24,0.35185185185185186
25,0.42592592592592593
26,0.6111111111111112
27,0.48148148148148145
28,0.12962962962962962
29,0.3333333333333333
30,0.42592592592592593
31,0.7037037037037037
32,0.6296296296296297
33,0.6851851851851852
34,0.2037037037037037
35,0.35185185185185186
36,0.2777777777777778
37,0.5185185185185185
38,0.24074074074074073
39,0.6481481481481481
40,0.4444444444444444
41,0.2777777777777778
42,0.5740740740740741
43,0.3148148148148148
44,0.4444444444444444
45,0.37037037037037035
46,0.5740740740740741
47,0.5185185185185185
48,0.8518518518518519
49,0.35185185185185186
50,0.4444444444444444
51,0.5185185185185185
52,0.3333333333333333
53,0.25925925925925924
54,0.37037037037037035
55,0.37037037037037035
56,0.35185185185185186
57,0.7222222222222222
58,0.6851851851851852
59,0.6111111111111112
60,0.5185185185185185
61,0.6481481481481481
62,0.2777777777777778
63,0.4444444444444444
64,0.5185185185185185
65,0.5185185185185185
66,0.42592592592592593
67,0.3888888888888889
68,0.6851851851851852
69,0.6296296296296297
70,0.6296296296296297
71,0.6296296296296297
72,0.4074074074074074
73,0.46296296296296297
74,0.5370370370370371
75,0.5370370370370371
76,0.2777777777777778
77,0.48148148148148145
78,0.7592592592592593
79,0.6851851851851852
80,0.5370370370370371
81,0.35185185185185186
82,0.7037037037037037
83,0.3333333333333333
84,0.7407407407407407
85,0.2777777777777778
86,0.16666666666666666
87,0.6851851851851852
88,0.42592592592592593
89,0.7222222222222222
90,0.7222222222222222
91,0.5925925925925926
92,0.6296296296296297
93,0.5740740740740741
94,0.5925925925925926
95,0.6111111111111112
96,0.25925925925925924
97,0.4444444444444444
98,0.6296296296296297
99,0.5
100,0.6111111111111112
101,0.3888888888888889
102,0.48148148148148145
103,0.46296296296296297
104,0.4074074074074074
105,0.4074074074074074
106,0.24074074074074073
107,0.2777777777777778
108,0.3888888888888889
109,0.37037037037037035
110,0.42592592592592593
111,0.25925925925925924
112,0.5740740740740741
113,0.5555555555555556
114,0.4074074074074074
115,0.5925925925925926
116,0.4528301886792453
117,0.6111111111111112
118,0.5
119,0.4074074074074074
120,0.8148148148148148
121,0.7037037037037037
122,0.2777777777777778
123,0.2962962962962963
124,0.8518518518518519
125,0.2037037037037037
126,0.4444444444444444
127,0.6666666666666666
128,0.6296296296296297
129,0.7222222222222222
130,0.5370370370370371
131,0.25925925925925924
132,0.7222222222222222
133,0.5
134,0.24074074074074073
135,0.5740740740740741
136,0.24074074074074073
137,0.5555555555555556
138,0.6296296296296297
139,0.3888888888888889
140,0.37037037037037035
141,0.5925925925925926
142,0.3888888888888889
143,0.3333333333333333
144,0.37037037037037035
145,0.6481481481481481
146,0.5555555555555556
147,0.6481481481481481
148,0.3888888888888889
149,0.6481481481481481
150,0.3148148148148148
151,0.8703703703703703
152,0.4444444444444444
153,0.5370370370370371
154,0.3333333333333333
155,0.5
156,0.35185185185185186
157,0.7592592592592593
158,0.2777777777777778
159,0.3333333333333333
160,0.2222222222222222
161,0.37037037037037035
162,0.8148148148148148
163,0.5925925925925926
164,0.5
165,0.5185185185185185
166,0.5555555555555556
167,0.6666666666666666
168,0.25925925925925924
169,0.3148148148148148
170,0.7777777777777778
171,0.42592592592592593
172,0.24074074074074073
173,0.24074074074074073
174,0.6111111111111112
175,0.46296296296296297
176,0.4444444444444444
177,0.8888888888888888
178,0.8148148148148148
179,0.3148148148148148
