strategy_str,n_participants
answer_0(top) → answer_2(right) → answer_3(bottom) → answer_1(left),62
answer_0(top) → answer_1(left) → answer_3(bottom) → answer_2(right),28
answer_0(top) → answer_1(left) → answer_2(right) → answer_3(bottom),8
answer_1(left) → answer_0(top) → answer_2(right) → answer_3(bottom),2
answer_0(top) → answer_2(right) → answer_0(top) → answer_3(bottom),1
answer_1(left) → answer_3(bottom) → answer_2(right) → answer_0(top),1
