participant_id,p1,p2,gap
l10_338,0.4074074074074074,0.37037037037037035,0.037037037037037035
l10_39,0.3148148148148148,0.24074074074074073,0.0740740740740741
l10_494,0.7592592592592593,0.09259259259259259,0.6666666666666667
l11_342,0.42592592592592593,0.1111111111111111,0.3148148148148148
l11_40,0.8148148148148148,0.07407407407407407,0.7407407407407407
l11_525,0.12962962962962962,0.12962962962962962,0.0
l12_204,0.5185185185185185,0.09259259259259259,0.42592592592592593
l12_343,0.7222222222222222,0.07407407407407407,0.6481481481481481
l12_41,0.4444444444444444,0.12962962962962962,0.31481481481481477
l13_206,0.4444444444444444,0.18518518518518517,0.25925925925925924
l13_347,0.6111111111111112,0.2037037037037037,0.40740740740740744
l13_42,0.2222222222222222,0.16666666666666666,0.05555555555555555
l14_212,0.25925925925925924,0.2037037037037037,0.05555555555555555
l14_349,0.46296296296296297,0.14814814814814814,0.3148148148148148
l14_43,0.5370370370370371,0.18518518518518517,0.3518518518518519
l15_214,0.37037037037037035,0.25925925925925924,0.1111111111111111
l15_351,0.6111111111111112,0.07407407407407407,0.5370370370370371
l15_45,0.4444444444444444,0.3148148148148148,0.1296296296296296
l16_215,0.8518518518518519,0.05555555555555555,0.7962962962962963
l16_353,0.3888888888888889,0.1111111111111111,0.2777777777777778
l16_46,0.3333333333333333,0.1111111111111111,0.2222222222222222
l17_355,0.5740740740740741,0.14814814814814814,0.42592592592592593
l17_48,0.7222222222222222,0.05555555555555555,0.6666666666666666
l17_493,0.2777777777777778,0.24074074074074073,0.03703703703703706
l18_222,0.6481481481481481,0.12962962962962962,0.5185185185185185
l18_358,0.24074074074074073,0.1111111111111111,0.12962962962962962
l18_526,0.42592592592592593,0.14814814814814814,0.2777777777777778
l19_225,0.5185185185185185,0.14814814814814814,0.37037037037037035
l19_359,0.4074074074074074,0.12962962962962962,0.2777777777777778
l19_50,0.5,0.14814814814814814,0.35185185185185186
l1_155,0.2777777777777778,0.2037037037037037,0.0740740740740741
l1_321,0.42592592592592593,0.2037037037037037,0.22222222222222224
l1_64,0.5185185185185185,0.09259259259259259,0.42592592592592593
l20_226,0.6481481481481481,0.07407407407407407,0.5740740740740741
l20_361,0.48148148148148145,0.12962962962962962,0.35185185185185186
l20_51,0.24074074074074073,0.2037037037037037,0.037037037037037035
l21_227,0.5740740740740741,0.1111111111111111,0.46296296296296297
l21_363,0.7222222222222222,0.05555555555555555,0.6666666666666666
l21_52,0.8148148148148148,0.09259259259259259,0.7222222222222222
l22_229,0.2777777777777778,0.18518518518518517,0.09259259259259262
l22_364,0.6296296296296297,0.09259259259259259,0.5370370370370371
l22_53,0.2037037037037037,0.2037037037037037,0.0
l23_235,0.3148148148148148,0.2222222222222222,0.09259259259259262
l23_371,0.5,0.16666666666666666,0.33333333333333337
l23_54,0.6296296296296297,0.07407407407407407,0.5555555555555556
l24_236,0.6851851851851852,0.05555555555555555,0.6296296296296297
l24_370,0.5925925925925926,0.1111111111111111,0.48148148148148145
l24_55,0.35185185185185186,0.1111111111111111,0.24074074074074076
l25_238,0.6296296296296297,0.07407407407407407,0.5555555555555556
l25_374,0.37037037037037035,0.12962962962962962,0.24074074074074073
l25_56,0.37037037037037035,0.25925925925925924,0.1111111111111111
l26_239,0.5370370370370371,0.1111111111111111,0.425925925925926
l26_376,0.25925925925925924,0.14814814814814814,0.1111111111111111
l26_57,0.6481481481481481,0.14814814814814814,0.5
l27_270,0.6851851851851852,0.037037037037037035,0.6481481481481481
l27_377,0.6296296296296297,0.14814814814814814,0.4814814814814815
l27_58,0.8703703703703703,0.037037037037037035,0.8333333333333333
l28_242,0.5370370370370371,0.14814814814814814,0.38888888888888895
l28_379,0.4074074074074074,0.07407407407407407,0.3333333333333333
l28_59,0.7592592592592593,0.037037037037037035,0.7222222222222223
l29_247,0.4444444444444444,0.2037037037037037,0.24074074074074073
l29_383,0.2777777777777778,0.16666666666666666,0.11111111111111113
l29_60,0.5555555555555556,0.09259259259259259,0.462962962962963
l2_160,0.4444444444444444,0.09259259259259259,0.35185185185185186
l2_323,0.46296296296296297,0.09259259259259259,0.37037037037037035
l2_65,0.8148148148148148,0.05555555555555555,0.7592592592592592
l30_249,0.6111111111111112,0.09259259259259259,0.5185185185185186
l30_385,0.4444444444444444,0.09259259259259259,0.35185185185185186
l30_61,0.24074074074074073,0.2222222222222222,0.018518518518518517
l31_251,0.37037037037037035,0.07407407407407407,0.2962962962962963
l31_387,0.42592592592592593,0.1111111111111111,0.3148148148148148
l31_62,0.5925925925925926,0.05555555555555555,0.537037037037037
l32_255,0.6296296296296297,0.07407407407407407,0.5555555555555556
l32_389,0.25925925925925924,0.12962962962962962,0.12962962962962962
l32_63,0.7037037037037037,0.07407407407407407,0.6296296296296297
l33_258,0.5740740740740741,0.07407407407407407,0.5
l33_284,0.6481481481481481,0.1111111111111111,0.537037037037037
l33_391,0.5740740740740741,0.09259259259259259,0.4814814814814815
l34_447,0.42592592592592593,0.14814814814814814,0.2777777777777778
l34_473,0.7777777777777778,0.05555555555555555,0.7222222222222222
l34_512,0.6296296296296297,0.12962962962962962,0.5
l35_264,0.42592592592592593,0.2222222222222222,0.20370370370370372
l35_450,0.6111111111111112,0.05555555555555555,0.5555555555555556
l35_85,0.3148148148148148,0.16666666666666666,0.14814814814814817
l36_394,0.7962962962962963,0.05555555555555555,0.7407407407407407
l36_486,0.5925925925925926,0.07407407407407407,0.5185185185185185
l36_524,0.3333333333333333,0.2777777777777778,0.055555555555555525
l37_273,0.5185185185185185,0.14814814814814814,0.37037037037037035
l37_395,0.6666666666666666,0.12962962962962962,0.537037037037037
l37_87,0.2777777777777778,0.09259259259259259,0.1851851851851852
l38_285,0.4444444444444444,0.1111111111111111,0.3333333333333333
l38_396,0.6111111111111112,0.09259259259259259,0.5185185185185186
l38_97,0.5,0.18518518518518517,0.3148148148148148
l39_122,0.8518518518518519,0.037037037037037035,0.8148148148148149
l39_289,0.3888888888888889,0.2777777777777778,0.1111111111111111
l39_542,0.2777777777777778,0.2037037037037037,0.0740740740740741
l3_163,0.24074074074074073,0.12962962962962962,0.1111111111111111
l3_325,0.6111111111111112,0.07407407407407407,0.5370370370370371
l3_66,0.3333333333333333,0.16666666666666666,0.16666666666666666
l40_123,0.4444444444444444,0.14814814814814814,0.2962962962962963
l40_294,0.35185185185185186,0.2037037037037037,0.14814814814814817
l40_405,0.37037037037037035,0.25925925925925924,0.1111111111111111
l41_286,0.6481481481481481,0.1111111111111111,0.537037037037037
l41_295,0.6851851851851852,0.05555555555555555,0.6296296296296297
l41_451,0.4444444444444444,0.2037037037037037,0.24074074074074073
l42_2070,0.2222222222222222,0.14814814814814814,0.07407407407407407
l42_297,0.37037037037037035,0.09259259259259259,0.2777777777777778
l42_488,0.6111111111111112,0.05555555555555555,0.5555555555555556
l43_152,0.5,0.1111111111111111,0.3888888888888889
